Turnover (Lacs)
10062.83
7407.06
3815.79
3960.27
3486.05
7162.35
11859.95
5248.6
5503.9
7999.55
12589.59
3202.78
6163.7
7445.41
14784.5
10002.01
7735.81
17130.29
2742.84
3856.72
6674.93
8163.82
12538.39
7913.21
4516.57
3280.33
5571.77
4689.94
4289.35
3662.36
7941.4
4141.83
6885.52
6106.81
4459.96
4573.57
4757.48
2676.63
4305.39
4677.58
6080.87
7893.32
13328.52
32325.56
10917.34
4544.83
3821.97
9565.1
5596.44
5607.3
5645.48
7143.47
9934.06
8021.22
7794.77
8566.75
8804.57
6045.37
3811.57
3532.63
6168.1
5443.53
6459.01
9999.82
18483.41
9740.9
5519.02
11917.5
5905.05
5886.61
5563.82
6442.71
7806.4
8755.18
16640.21
4214.24
8614.03
10067.32
3311.87
3209.4
9470.3
2945.64
4075.26
5408.38
11030.56
4706.54
6920.49
9239.62
10876.9
5803.91
6862.75
5324.08
7380.24
10726.5
7874.05
7762.71
8103.65
17573.66
15295.87
23074.68
43913.37
5685.22
4157.17
5311
4998.87
5387.46
4014.1
7355.63
5479.6
9025.87
5443.94
14401.35
13808.09
6075.2
4794.16
7225.36
6966.56
13416.32
16355.69
8371.24
6024.34
5896.21
5454.47
6065.36
12889.29
5047.58
7260.79
8975.77
7162.95
17918.02
5951.18
8092.83
6332.93
5859.45
4369.46
3901.51
7453.21
9640.91
7633.86
8081.81
5729.14
8590.75
7052.02
4376.16
6068.8
13070.84
18367.89
12811.25
6392.67
7727.14
13208.65
10027.43
10479.23
14389.22
9678.53
13695.83
7022.82
5331.07
5082.79
7003.26
13079.39
8655.43
16553.84
22500.69
18431.55
18386.99
18375.08
13229.01
15929.24
7871.4
5489.77
11123.41
6585.37
13560.72
10171.94
11183.31
10502.65
11717.46
14922.72
14701.51
46643.39
10911.99
7944.49
7628.8
6855.32
5938.16
8380.41
6469.92
6252.42
5040.75
21586.26
14164.22
10164.51
12073.55
14271.47
6845.56
14149.92
24973.97
17013.97
8735.39
15810.93
19574.91
20150.22
23729.27
12354.21
10662.6
12100.11
13694.44
16212.97
20637.33
28436.36
18367.29
32227.87
6106.05
10704.91
9240.31
13645.79
33327.37
36047.39
17611.63
15781.35
44321.86
37901.49
6914.92
18509.13
26521.93
7424.32
12105.05
16298.62
4331.7
17834.16
8238.83
11696.96
31569.51
19257.33
10341.97
5437.31
7402.2
6030.3
1095.73
9730.6
6898.79
5563.4
6713.26
8224.13
14629.38
4448.8
3454.22
5332.72
4637.19
4032.28
4118.57
7700.44
9312.65
6727.73
11185.5
7877.39
7911.13
6159.43
6234.53
20840.29
5303.92
5500.51
6266.23
9768.64
10349.32
7098.12
13393.1
12129.82
29584.24
6738.89
8461.6
6743.59
15413.6
14034.74
10969.25
7147.52
8960.23
14522.9
14417.1
31403.67
19308.69
20050.09
55755.08
16312.73
9628.51
3921.42
2082.83
3988.91
4339.35
3815.79
4845.26
3334.75
3622.9
3230.5
3860.48
4031.92
6583.98
3600.42
4536.3
8039.92
4827.35
7313.99
5734.23
8646
4932.13
9084.43
18368.34
21392.59
7866.08
10106.02
7546.37
9038.88
4670.92
13243.65
2787.02
